"id","etapa_id","grupo_id","casa","visitante","data_confronto","created_at","updated_at","deleted_at"
1,1,1,1,2,"2022-11-20 13:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
2,1,2,6,7,"2022-11-21 10:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
3,1,1,4,3,"2022-11-21 13:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
4,1,2,5,8,"2022-11-21 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
5,1,3,9,10,"2022-11-22 07:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
6,1,4,14,16,"2022-11-22 10:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
7,1,3,11,12,"2022-11-22 13:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
8,1,4,15,13,"2022-11-22 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
9,1,6,24,23,"2022-11-23 07:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
10,1,5,17,20,"2022-11-23 10:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
11,1,5,19,18,"2022-11-23 13:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
12,1,6,21,22,"2022-11-23 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
13,1,7,27,26,"2022-11-24 07:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
14,1,8,32,29,"2022-11-24 10:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
15,1,8,31,30,"2022-11-24 13:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
16,1,7,25,28,"2022-11-24 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
17,1,2,8,7,"2022-11-25 07:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
18,1,1,1,4,"2022-11-25 10:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
19,1,1,3,2,"2022-11-25 13:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
20,1,2,6,5,"2022-11-25 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
21,1,4,16,13,"2022-11-26 07:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
22,1,3,12,10,"2022-11-26 10:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
23,1,4,15,14,"2022-11-26 13:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
24,1,3,9,11,"2022-11-26 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
25,1,5,20,18,"2022-11-27 07:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
26,1,6,21,24,"2022-11-27 10:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
27,1,6,23,22,"2022-11-27 13:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
28,1,5,19,17,"2022-11-27 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
29,1,7,26,28,"2022-11-28 07:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
30,1,8,29,30,"2022-11-28 10:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
31,1,7,25,27,"2022-11-28 13:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
32,1,8,31,32,"2022-11-28 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
33,1,1,2,4,"2022-11-29 12:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
34,1,1,3,1,"2022-11-29 12:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
35,1,2,7,5,"2022-11-29 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
36,1,2,8,6,"2022-11-29 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
37,1,4,16,15,"2022-11-30 12:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
38,1,4,13,14,"2022-11-30 12:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
39,1,3,12,9,"2022-11-30 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
40,1,3,10,11,"2022-11-30 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
41,1,6,23,21,"2022-12-01 12:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
42,1,6,22,24,"2022-12-01 12:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
43,1,5,20,19,"2022-12-01 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
44,1,5,18,17,"2022-12-01 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
45,1,8,29,31,"2022-12-02 12:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
46,1,8,30,32,"2022-12-02 12:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
47,1,7,28,27,"2022-12-02 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
48,1,7,26,25,"2022-12-02 16:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
49,2,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
50,2,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
51,2,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
52,2,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
53,2,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
54,2,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
55,2,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
56,2,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
57,3,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
58,3,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
59,3,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
60,3,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
61,4,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
62,4,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
63,5,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
64,6,,,,"2022-12-02 00:00:00","2022-05-23 13:30:00","2022-05-23 13:30:00",
